Job_Title,Skills,Education_Level,Preferred_Location,Experience
QA Engineer,"Test Cases, API Testing, TestNG, Regression Testing, Performance Testing",MBA,Pune,11
System Administrator,"Backup Management, Networking, Shell Scripting, Firewall",M.Tech,Mumbai,3
System Administrator,"Firewall, Windows Server, Backup Management, Active Directory",B.Sc,Remote,6
Product Manager,"KPIs, Jira, Agile, User Stories",B.Sc,Delhi,5
Machine Learning Engineer,"TensorFlow, ML Algorithms, Python, Deep Learning, Pandas",M.Sc,Delhi,8
Product Manager,"KPIs, A/B Testing, Jira, Roadmap Planning, Scrum, Product Strategy",B.Sc,Remote,10
UI/UX Designer,"Sketch, Wireframes, Adobe XD, Responsive Design, CSS, HTML, Figma",MBA,Remote,12
System Administrator,"Firewall, Linux, Virtualization, Backup Management",M.Tech,Chennai,9
Business Analyst,"Tableau, Excel, Documentation, Stakeholder Communication",B.Tech,Pune,9
QA Engineer,"Selenium, Automation Testing, API Testing, TestNG, Manual Testing",MCA,Bangalore,9
IT Project Manager,"Budget Management, Team Management, Timeline Tracking, Agile, Risk Management, Scrum",M.Tech,Bangalore,12
Database Administrator,"Database Security, Monitoring, Backup & Recovery, PostgreSQL, Oracle",B.Tech,Hyderabad,5
Backend Developer,"Git, Express.js, REST APIs, MongoDB, Node.js, Spring Boot",M.Sc,Mumbai,1
Software Engineer,"OOP, System Design, Python, SQL, Git",M.Sc,Mumbai,0
Business Analyst,"Excel, SQL, Tableau, Power BI, Requirement Gathering",M.Tech,Pune,7
Cloud Engineer,"Azure, AWS, CI/CD, Kubernetes, Monitoring, GCP, Docker",M.Tech,Mumbai,1
AI Researcher,"ML Frameworks, Research Papers, Deep Learning, Mathematical Modeling, PyTorch",M.Sc,Hyderabad,7
UI/UX Designer,"Design Thinking, Figma, User Research, HTML",B.Tech,Chennai,3
Data Analyst,"Data Modeling, Tableau, Excel, Data Cleaning, Power BI, Dashboarding",M.Tech,Hyderabad,8
HR Executive,"Employee Relations, Recruitment, HR Policies, Onboarding, Attendance Management, Compliance",MBA,Pune,5
Business Analyst,"Tableau, SQL, Requirement Gathering, Stakeholder Communication",B.Sc,Mumbai,9
Data Scientist,"Scikit-Learn, SQL, Data Visualization, NumPy, Pandas",M.Tech,Bangalore,4
Frontend Developer,"Responsive Design, Next.js, TypeScript, JavaScript, Bootstrap",B.Tech,Hyderabad,8
Product Manager,"Roadmap Planning, Stakeholder Management, KPIs, Agile, Wireframing",MBA,Remote,7
Technical Support Engineer,"Ticketing Systems, Remote Support, Networking, Customer Support",M.Sc,Chennai,9
Data Scientist,"Python, TensorFlow, Scikit-Learn, Statistics, Deep Learning, Pandas, NumPy",B.Tech,Mumbai,10
HR Executive,"Attendance Management, Payroll, Compliance, HR Policies, HRMS",MCA,Pune,12
Frontend Developer,"TypeScript, Responsive Design, HTML, Bootstrap, React",B.Sc,Chennai,0
Business Analyst,"Tableau, Process Modeling, Documentation, Excel, Stakeholder Communication, Requirement Gathering",B.Sc,Bangalore,5
Data Scientist,"Scikit-Learn, TensorFlow, Data Visualization, Deep Learning",M.Tech,Remote,1
Product Manager,"KPIs, Agile, User Stories, Wireframing, Stakeholder Management, Roadmap Planning",B.Tech,Chennai,11
Data Scientist,"TensorFlow, Statistics, Pandas, Python, Matplotlib",M.Sc,Mumbai,3
Technical Support Engineer,"Windows OS, Remote Support, Documentation, Ticketing Systems, Linux",MCA,Chennai,10
Full Stack Developer,"JavaScript, Docker, React, CSS, Node.js, MongoDB, Git",M.Tech,Remote,9
System Administrator,"Linux, Firewall, Networking, Monitoring, Windows Server",B.Tech,Chennai,1
Database Administrator,"PostgreSQL, Database Security, Performance Tuning, Oracle",MBA,Delhi,2
Full Stack Developer,"Node.js, React, HTML, Git, Express.js, CSS, Docker",B.Sc,Chennai,8
Cloud Engineer,"GCP, Docker, CloudFormation, CI/CD, Linux, Monitoring, Kubernetes",B.Tech,Mumbai,6
HR Executive,"Payroll, Employee Relations, Exit Formalities, Compliance, Attendance Management",B.Tech,Bangalore,10
Product Manager,"A/B Testing, User Stories, Jira, Product Strategy, Roadmap Planning, Agile, Scrum",B.Sc,Pune,4
IT Project Manager,"JIRA, Budget Management, Timeline Tracking, Risk Management, Agile",MCA,Hyderabad,5
AI Researcher,"Mathematical Modeling, TensorFlow, Deep Learning, PyTorch, Data Generation",M.Tech,Remote,11
Data Analyst,"Pandas, Power BI, SQL, Statistics, Tableau, Python",B.Sc,Remote,6
QA Engineer,"Test Cases, Selenium, TestNG, Bug Tracking",MBA,Hyderabad,8
Backend Developer,"MongoDB, Docker, Java, MySQL, REST APIs, Express.js, Git",MBA,Pune,11
Business Analyst,"Use Cases, Stakeholder Communication, Requirement Gathering, SQL, Process Modeling, Documentation",MBA,Mumbai,5
Database Administrator,"Performance Tuning, MySQL, PostgreSQL, Backup & Recovery, Replication",B.Tech,Pune,11
UI/UX Designer,"User Research, CSS, Figma, Sketch, Responsive Design, Prototyping",MCA,Delhi,1
Cloud Engineer,"CloudFormation, AWS, Terraform, Kubernetes, CI/CD, GCP, Azure",M.Tech,Delhi,8
HR Executive,"Attendance Management, Interview Scheduling, HRMS, Payroll, Compliance, Onboarding",B.Sc,Remote,11
Cloud Engineer,"Azure, Monitoring, Linux, CloudFormation, Terraform",MBA,Hyderabad,3
Cybersecurity Analyst,"Nmap, SIEM, Vulnerability Assessment, Network Security, Risk Assessment, Incident Response",MBA,Pune,6
HR Executive,"Employee Relations, Exit Formalities, Compliance, Onboarding, HRMS, Interview Scheduling",M.Tech,Pune,8
Cloud Engineer,"CI/CD, CloudFormation, Docker, Azure, Linux, Terraform",B.Tech,Hyderabad,8
HR Executive,"Interview Scheduling, Onboarding, Compliance, Attendance Management, HRMS",B.Tech,Bangalore,4
Product Manager,"Wireframing, Agile, KPIs, Jira",MBA,Hyderabad,2
Full Stack Developer,"REST APIs, JavaScript, Express.js, Node.js, React",MCA,Chennai,3
Full Stack Developer,"Docker, React, HTML, CSS, Git",M.Sc,Mumbai,8
Cloud Engineer,"Terraform, Docker, Linux, AWS, CloudFormation, GCP, Kubernetes",MBA,Delhi,2
Machine Learning Engineer,"Deep Learning, TensorFlow, Scikit-Learn, Pandas, Keras, Model Deployment, AWS",M.Sc,Bangalore,0
UI/UX Designer,"Responsive Design, Adobe XD, HTML, Wireframes, CSS, User Research",MBA,Mumbai,6
Machine Learning Engineer,"ML Algorithms, PyTorch, TensorFlow, Model Deployment, Pandas",M.Tech,Hyderabad,10
Full Stack Developer,"CSS, MongoDB, Git, JavaScript, Express.js, React",MBA,Remote,0
Full Stack Developer,"REST APIs, Git, HTML, Node.js, React, Docker, CSS",B.Sc,Bangalore,4
Cloud Engineer,"Linux, Azure, GCP, Kubernetes",MBA,Mumbai,12
Product Manager,"Stakeholder Management, Jira, Product Strategy, Agile, Scrum, KPIs, A/B Testing",M.Sc,Hyderabad,7
Data Analyst,"Excel, Statistics, Tableau, Power BI, Dashboarding, SQL, Data Modeling",M.Tech,Pune,11
AI Researcher,"Natural Language Processing, TensorFlow, Python, Computer Vision, Deep Learning, Data Generation",MCA,Delhi,8
DevOps Engineer,"Jenkins, Kubernetes, Git, CI/CD",M.Tech,Mumbai,4
DevOps Engineer,"Kubernetes, Docker, AWS, Terraform, CI/CD, Jenkins",B.Tech,Remote,1
Frontend Developer,"Responsive Design, JavaScript, CSS, React, Next.js, Redux",MBA,Hyderabad,4
Business Analyst,"Process Modeling, Data Analysis, Tableau, Documentation, SQL, Power BI, Excel",MBA,Pune,10
IT Project Manager,"Project Planning, JIRA, Budget Management, Timeline Tracking, Agile",M.Tech,Bangalore,6
Full Stack Developer,"CSS, REST APIs, Node.js, React",B.Sc,Pune,1
System Administrator,"Firewall, Backup Management, DNS, Active Directory, Networking, Monitoring",MBA,Hyderabad,10
Data Analyst,"Data Modeling, Python, Statistics, Power BI, Data Cleaning",MCA,Mumbai,3
HR Executive,"Recruitment, Compliance, Interview Scheduling, Onboarding, Attendance Management",M.Sc,Mumbai,11
QA Engineer,"JIRA, Test Cases, Selenium, Bug Tracking",B.Sc,Hyderabad,8
UI/UX Designer,"Wireframes, User Research, Prototyping, CSS, HTML, Adobe XD",B.Sc,Delhi,12
Product Manager,"Product Strategy, Wireframing, A/B Testing, KPIs, Scrum, Jira",M.Tech,Delhi,3
Backend Developer,"AWS, Git, REST APIs, Spring Boot",B.Sc,Bangalore,7
Technical Support Engineer,"Customer Support, Networking, Windows OS, Linux, Email Support, Hardware",MCA,Chennai,9
Product Manager,"User Stories, Agile, Jira, Scrum",MBA,Delhi,1
DevOps Engineer,"AWS, Linux, Docker, Kubernetes, Git, Terraform, Jenkins",B.Sc,Bangalore,10
Frontend Developer,"Bootstrap, HTML, React, CSS, Responsive Design, JavaScript, Redux",MBA,Delhi,4
AI Researcher,"Python, ML Frameworks, Data Generation, Computer Vision, Research Papers",M.Sc,Pune,9
Cybersecurity Analyst,"Firewalls, Incident Response, Vulnerability Assessment, Risk Assessment, Kali Linux",B.Tech,Remote,1
Cloud Engineer,"CI/CD, AWS, Kubernetes, Linux, GCP",MBA,Chennai,10
Machine Learning Engineer,"Keras, Model Deployment, PyTorch, Pandas",MCA,Bangalore,2
UI/UX Designer,"CSS, Design Thinking, Prototyping, Wireframes, Figma, Sketch, User Research",M.Tech,Pune,4
Machine Learning Engineer,"Keras, Deep Learning, PyTorch, Model Deployment",M.Tech,Remote,3
Database Administrator,"Performance Tuning, Replication, MySQL, PostgreSQL",MCA,Chennai,5
AI Researcher,"Research Papers, PyTorch, Mathematical Modeling, ML Frameworks, Data Generation, Python",B.Tech,Bangalore,8
Frontend Developer,"React, HTML, TypeScript, CSS",M.Tech,Pune,6
Data Scientist,"Python, Scikit-Learn, Deep Learning, NumPy, Pandas",M.Tech,Hyderabad,9
Cloud Engineer,"AWS, Docker, Kubernetes, CI/CD, Monitoring, Terraform",M.Sc,Chennai,8
Data Analyst,"Tableau, Data Cleaning, Data Modeling, Excel, Power BI, Statistics, Dashboarding",MCA,Remote,3
Cybersecurity Analyst,"SIEM, Wireshark, Vulnerability Assessment, Risk Assessment, Kali Linux, Network Security, Incident Response",B.Sc,Remote,1
Business Analyst,"Requirement Gathering, Documentation, Process Modeling, SQL, Use Cases, Tableau",M.Tech,Mumbai,3
IT Project Manager,"Agile, Budget Management, JIRA, Client Communication, Timeline Tracking",B.Tech,Mumbai,9
System Administrator,"Networking, Linux, Active Directory, Shell Scripting, Backup Management, Windows Server",B.Tech,Mumbai,0
Cloud Engineer,"Kubernetes, CloudFormation, AWS, CI/CD, Linux, Azure, Docker",MBA,Pune,12
IT Project Manager,"Team Management, Client Communication, Risk Management, Reporting, Budget Management, Timeline Tracking, JIRA",M.Sc,Mumbai,12
AI Researcher,"Natural Language Processing, Mathematical Modeling, ML Frameworks, PyTorch, Python",M.Tech,Hyderabad,4
AI Researcher,"Data Generation, Deep Learning, Research Papers, PyTorch, Computer Vision",MBA,Hyderabad,2
AI Researcher,"Data Generation, ML Frameworks, Research Papers, Mathematical Modeling",B.Sc,Mumbai,8
AI Researcher,"TensorFlow, Python, ML Frameworks, PyTorch, Deep Learning",M.Sc,Delhi,2
HR Executive,"Payroll, Compliance, Recruitment, HR Policies, Attendance Management",MBA,Bangalore,9
Cybersecurity Analyst,"Vulnerability Assessment, Risk Assessment, Firewalls, Kali Linux, Nmap, Network Security, SIEM",M.Tech,Chennai,3
Database Administrator,"MySQL, Indexing, PostgreSQL, Oracle, Monitoring",M.Sc,Chennai,1
IT Project Manager,"Budget Management, Risk Management, Client Communication, Reporting, Scrum, Agile",M.Sc,Chennai,9
Software Engineer,"Git, Python, OOP, Algorithms, System Design, SQL",MCA,Mumbai,7
Data Analyst,"Power BI, Tableau, Dashboarding, Data Modeling, Data Cleaning, Excel, Statistics",MCA,Hyderabad,1
Business Analyst,"SQL, Requirement Gathering, Use Cases, Excel",B.Sc,Bangalore,2
QA Engineer,"Test Cases, Regression Testing, Selenium, Manual Testing, Bug Tracking, API Testing, Performance Testing",M.Tech,Hyderabad,4
Frontend Developer,"React, Responsive Design, Redux, Next.js",B.Sc,Hyderabad,9
DevOps Engineer,"Ansible, Kubernetes, Git, AWS, Monitoring",MBA,Chennai,3
AI Researcher,"Mathematical Modeling, Deep Learning, Research Papers, Computer Vision, TensorFlow, Natural Language Processing",MCA,Pune,0
Business Analyst,"Excel, Stakeholder Communication, Documentation, SQL, Data Analysis",B.Tech,Mumbai,7
QA Engineer,"Automation Testing, Test Cases, Bug Tracking, API Testing, Regression Testing, Performance Testing, TestNG",MBA,Remote,6
Frontend Developer,"JavaScript, CSS, HTML, Next.js",MCA,Bangalore,0
Frontend Developer,"Redux, HTML, Tailwind CSS, TypeScript",M.Tech,Pune,3
Technical Support Engineer,"Linux, Ticketing Systems, Documentation, Hardware",MCA,Pune,10
Software Engineer,"OOP, Git, SQL, Algorithms, Python",MCA,Pune,7
Cybersecurity Analyst,"SIEM, Ethical Hacking, Vulnerability Assessment, Risk Assessment, Firewalls, Incident Response",B.Sc,Mumbai,8
Cybersecurity Analyst,"SIEM, Network Security, Risk Assessment, Vulnerability Assessment",B.Tech,Delhi,11
Product Manager,"Agile, Stakeholder Management, Scrum, A/B Testing, KPIs",B.Tech,Delhi,1
Technical Support Engineer,"Remote Support, Email Support, Troubleshooting, Networking, Windows OS, Hardware",M.Sc,Delhi,9
HR Executive,"Compliance, Exit Formalities, Recruitment, HRMS, Onboarding",M.Tech,Pune,3
Software Engineer,"System Design, SQL, OOP, Git, Agile, Algorithms, Python",M.Tech,Mumbai,1
DevOps Engineer,"AWS, Git, Jenkins, Terraform, Docker, Linux, Kubernetes",M.Sc,Hyderabad,11
IT Project Manager,"JIRA, Budget Management, Timeline Tracking, Agile, Reporting",M.Tech,Mumbai,0
Data Analyst,"Dashboarding, Data Cleaning, Excel, SQL, Power BI",B.Tech,Hyderabad,11
Business Analyst,"Process Modeling, Data Analysis, Stakeholder Communication, Documentation, Use Cases",MBA,Pune,7
DevOps Engineer,"Git, Monitoring, CI/CD, Docker, Jenkins, Kubernetes",M.Sc,Chennai,9
Product Manager,"KPIs, User Stories, A/B Testing, Stakeholder Management",B.Tech,Hyderabad,6
QA Engineer,"Regression Testing, Automation Testing, Test Cases, Performance Testing, API Testing, Bug Tracking",MCA,Delhi,7
System Administrator,"Backup Management, Virtualization, Active Directory, Linux, Monitoring, Networking",B.Tech,Chennai,8
DevOps Engineer,"Terraform, Monitoring, Linux, Docker, AWS",MCA,Bangalore,4
UI/UX Designer,"Adobe XD, Responsive Design, Figma, HTML, User Research, Wireframes",B.Tech,Delhi,12
QA Engineer,"Test Cases, Regression Testing, Selenium, Manual Testing",B.Tech,Delhi,6
Business Analyst,"Tableau, Process Modeling, Power BI, Use Cases",B.Sc,Bangalore,9
Product Manager,"Jira, A/B Testing, Stakeholder Management, Scrum, Wireframing, Roadmap Planning, Product Strategy",M.Sc,Chennai,3
Database Administrator,"Replication, MySQL, Monitoring, Backup & Recovery, Indexing, SQL Queries, PostgreSQL",B.Tech,Pune,6
Technical Support Engineer,"Linux, Ticketing Systems, Documentation, Networking",B.Tech,Hyderabad,8
Cybersecurity Analyst,"Wireshark, Nmap, Kali Linux, Network Security, Vulnerability Assessment",M.Tech,Remote,5
Data Analyst,"Python, SQL, Excel, Power BI, Data Cleaning",M.Sc,Remote,3
Full Stack Developer,"Docker, Git, React, CSS, Node.js, JavaScript",B.Tech,Remote,7
Technical Support Engineer,"Customer Support, Troubleshooting, Remote Support, Email Support",M.Sc,Delhi,5
Business Analyst,"Requirement Gathering, Stakeholder Communication, Use Cases, Data Analysis, Tableau, Excel, Power BI",MCA,Chennai,8
HR Executive,"HR Policies, Recruitment, Attendance Management, Interview Scheduling, Compliance",B.Tech,Pune,1
Cybersecurity Analyst,"Vulnerability Assessment, Incident Response, Kali Linux, SIEM, Network Security, Risk Assessment",B.Tech,Chennai,11
Business Analyst,"Use Cases, Tableau, Documentation, Power BI, Process Modeling",B.Tech,Mumbai,6
Cybersecurity Analyst,"Network Security, Ethical Hacking, Firewalls, SIEM, Risk Assessment, Vulnerability Assessment",M.Sc,Delhi,8
Software Engineer,"OOP, SQL, Algorithms, Python",B.Tech,Mumbai,11
DevOps Engineer,"Terraform, Git, CI/CD, Jenkins, Docker, Monitoring",M.Sc,Mumbai,12
Product Manager,"A/B Testing, Stakeholder Management, Agile, Jira, KPIs, Product Strategy, Scrum",B.Tech,Chennai,1
System Administrator,"Linux, Active Directory, Networking, Windows Server, Backup Management, DNS, Shell Scripting",B.Tech,Mumbai,0
Data Analyst,"Dashboarding, Data Modeling, Python, Data Cleaning, Statistics, Power BI, Pandas",MCA,Bangalore,4
Full Stack Developer,"CSS, HTML, Git, Node.js, Docker",M.Sc,Mumbai,5
Product Manager,"Product Strategy, Stakeholder Management, Scrum, KPIs",B.Tech,Hyderabad,11
AI Researcher,"Python, Natural Language Processing, Computer Vision, Deep Learning, ML Frameworks",MCA,Remote,9
Database Administrator,"Indexing, PostgreSQL, SQL Queries, Backup & Recovery, Replication, Monitoring, Oracle",MBA,Pune,2
HR Executive,"Employee Relations, Recruitment, Attendance Management, Exit Formalities, Interview Scheduling",MBA,Pune,3
HR Executive,"HR Policies, Recruitment, Attendance Management, Interview Scheduling",M.Sc,Chennai,8
HR Executive,"Payroll, Attendance Management, Onboarding, Compliance, Employee Relations, Exit Formalities",MCA,Bangalore,3
UI/UX Designer,"Adobe XD, Wireframes, Responsive Design, HTML, Prototyping, CSS",MCA,Hyderabad,2
Software Engineer,"Python, OOP, Java, SQL, System Design",M.Sc,Remote,0
Machine Learning Engineer,"Keras, AWS, TensorFlow, ML Algorithms, Pandas, Model Deployment, Deep Learning",B.Sc,Chennai,12
Data Analyst,"Python, SQL, Statistics, Data Modeling, Tableau, Data Cleaning, Power BI",B.Sc,Mumbai,7
QA Engineer,"JIRA, Manual Testing, Bug Tracking, Selenium, API Testing, Test Cases, TestNG",B.Sc,Remote,11
Business Analyst,"Documentation, Tableau, Requirement Gathering, Power BI, Process Modeling, SQL",MBA,Remote,2
Backend Developer,"Java, Git, AWS, REST APIs, Node.js, MongoDB",MBA,Pune,2
Full Stack Developer,"HTML, Express.js, Node.js, Git, CSS",MBA,Hyderabad,3
Business Analyst,"Excel, Tableau, Process Modeling, Use Cases, Stakeholder Communication",M.Sc,Mumbai,0
Technical Support Engineer,"Ticketing Systems, Documentation, Email Support, Networking, Remote Support, Windows OS, Customer Support",B.Tech,Pune,12
IT Project Manager,"Risk Management, Scrum, Agile, Project Planning, JIRA, Budget Management, Timeline Tracking",B.Tech,Bangalore,10
Frontend Developer,"CSS, Redux, Tailwind CSS, Bootstrap, TypeScript",MBA,Remote,6
Backend Developer,"AWS, REST APIs, Docker, Spring Boot, Java",B.Tech,Mumbai,10
HR Executive,"Payroll, HRMS, Attendance Management, Employee Relations, Compliance",M.Sc,Pune,12
Backend Developer,"MySQL, Spring Boot, Git, Java",B.Sc,Delhi,6
Machine Learning Engineer,"AWS, Model Deployment, Scikit-Learn, Python",B.Tech,Hyderabad,6
System Administrator,"Backup Management, Windows Server, Active Directory, Networking",M.Tech,Chennai,6
HR Executive,"Compliance, Attendance Management, Onboarding, Payroll, HRMS, Exit Formalities",M.Sc,Chennai,0
Backend Developer,"Git, Java, REST APIs, MongoDB, Spring Boot",M.Sc,Remote,1
Data Analyst,"Excel, Data Modeling, Python, SQL",B.Tech,Hyderabad,4
AI Researcher,"Computer Vision, Natural Language Processing, PyTorch, Python, ML Frameworks, Research Papers, Deep Learning",MCA,Remote,6
IT Project Manager,"Budget Management, Risk Management, Team Management, Reporting",M.Tech,Chennai,6
Frontend Developer,"TypeScript, CSS, JavaScript, Tailwind CSS, Next.js",M.Tech,Hyderabad,3
IT Project Manager,"Scrum, Budget Management, Agile, Project Planning, JIRA, Timeline Tracking",MBA,Delhi,8
Frontend Developer,"JavaScript, Tailwind CSS, HTML, Responsive Design, React, Redux, Bootstrap",MCA,Hyderabad,6
HR Executive,"HRMS, Exit Formalities, Interview Scheduling, HR Policies, Attendance Management",M.Tech,Pune,0
QA Engineer,"Selenium, API Testing, Performance Testing, JIRA, TestNG, Test Cases",MBA,Mumbai,4
Database Administrator,"SQL Queries, PostgreSQL, Indexing, Performance Tuning",M.Sc,Hyderabad,9
UI/UX Designer,"HTML, Wireframes, Design Thinking, Sketch, Responsive Design, Prototyping, User Research",M.Sc,Chennai,9
System Administrator,"Monitoring, Windows Server, Virtualization, Linux, Shell Scripting, DNS",B.Tech,Mumbai,5
Full Stack Developer,"MongoDB, REST APIs, React, JavaScript, Docker",M.Sc,Mumbai,6
IT Project Manager,"Project Planning, Budget Management, Client Communication, JIRA, Scrum, Team Management",B.Sc,Pune,9
IT Project Manager,"Agile, Risk Management, Client Communication, JIRA, Budget Management, Reporting",B.Tech,Chennai,1
Cloud Engineer,"Kubernetes, Monitoring, CloudFormation, Linux, Docker, AWS, GCP",MCA,Chennai,0
Business Analyst,"Documentation, Stakeholder Communication, Process Modeling, Power BI, Excel",B.Tech,Remote,10
Full Stack Developer,"Git, Express.js, Node.js, CSS, Docker, MongoDB",MBA,Pune,9
Technical Support Engineer,"Networking, Remote Support, Troubleshooting, Linux, Documentation, Customer Support, Hardware",MCA,Bangalore,6
Backend Developer,"Git, Express.js, REST APIs, MongoDB, Java, MySQL, AWS",M.Sc,Delhi,12
Backend Developer,"AWS, MySQL, MongoDB, Express.js, Spring Boot, Docker, Git",MBA,Hyderabad,7
QA Engineer,"Performance Testing, Bug Tracking, API Testing, Automation Testing",MBA,Mumbai,9
UI/UX Designer,"Figma, Design Thinking, Sketch, Adobe XD, User Research, Prototyping",B.Sc,Remote,1
Database Administrator,"Replication, Backup & Recovery, Performance Tuning, Oracle, MySQL, Indexing",B.Sc,Mumbai,11
HR Executive,"Onboarding, Recruitment, HR Policies, Exit Formalities, Compliance, Employee Relations",MBA,Delhi,0
Backend Developer,"Spring Boot, Node.js, REST APIs, AWS, MySQL",B.Sc,Delhi,8
IT Project Manager,"Budget Management, JIRA, Project Planning, Scrum, Client Communication",MCA,Pune,3
UI/UX Designer,"Adobe XD, Responsive Design, Design Thinking, Wireframes, User Research, HTML, CSS",M.Tech,Bangalore,11
Cloud Engineer,"GCP, Monitoring, Linux, CI/CD",B.Sc,Hyderabad,7
System Administrator,"Monitoring, Windows Server, Networking, DNS, Firewall",B.Tech,Remote,5
AI Researcher,"PyTorch, Computer Vision, Python, Natural Language Processing, Deep Learning",B.Sc,Hyderabad,3
Product Manager,"Roadmap Planning, Scrum, Agile, A/B Testing, Stakeholder Management, Wireframing, Product Strategy",B.Sc,Pune,12
System Administrator,"Active Directory, Networking, Firewall, Backup Management, Virtualization, Shell Scripting, DNS",MCA,Delhi,6
HR Executive,"Attendance Management, HRMS, Exit Formalities, Interview Scheduling",MBA,Mumbai,12
Business Analyst,"Requirement Gathering, SQL, Data Analysis, Power BI",MBA,Bangalore,11
System Administrator,"Windows Server, DNS, Monitoring, Virtualization",MCA,Mumbai,6
HR Executive,"Compliance, Employee Relations, HRMS, Attendance Management",B.Tech,Pune,11
System Administrator,"Monitoring, DNS, Networking, Windows Server, Shell Scripting",MCA,Remote,8
Cybersecurity Analyst,"Firewalls, SIEM, Incident Response, Network Security, Nmap",MBA,Delhi,9
Frontend Developer,"TypeScript, JavaScript, Responsive Design, Next.js",M.Tech,Remote,8
Cloud Engineer,"Linux, CloudFormation, Monitoring, CI/CD, Terraform, Docker",B.Sc,Pune,5
QA Engineer,"API Testing, JIRA, TestNG, Selenium, Test Cases, Regression Testing, Bug Tracking",M.Sc,Delhi,0
Data Scientist,"Scikit-Learn, Statistics, Deep Learning, NumPy, Pandas, SQL",B.Sc,Bangalore,6
Database Administrator,"Database Security, PostgreSQL, Oracle, Indexing, Replication, MySQL",B.Sc,Chennai,5
Software Engineer,"Data Structures, System Design, Debugging, Python, Agile, Git, Algorithms",MCA,Delhi,5
Cloud Engineer,"Terraform, Docker, AWS, Monitoring",B.Sc,Hyderabad,7
Technical Support Engineer,"Hardware, Ticketing Systems, Email Support, Troubleshooting, Documentation, Customer Support, Linux",B.Sc,Bangalore,4
Cloud Engineer,"GCP, CI/CD, AWS, Kubernetes, CloudFormation, Linux",B.Sc,Hyderabad,7
AI Researcher,"Deep Learning, ML Frameworks, Natural Language Processing, Mathematical Modeling",M.Sc,Chennai,7
Data Scientist,"NumPy, Scikit-Learn, Deep Learning, SQL, Statistics",B.Tech,Remote,7
Frontend Developer,"Responsive Design, React, TypeScript, Bootstrap, HTML",MCA,Pune,4
HR Executive,"Exit Formalities, Compliance, Interview Scheduling, Onboarding",B.Sc,Bangalore,11
Business Analyst,"Process Modeling, Tableau, Requirement Gathering, Excel, Power BI",B.Tech,Bangalore,11
Cybersecurity Analyst,"Firewalls, Network Security, SIEM, Ethical Hacking, Nmap",M.Tech,Delhi,12
Data Analyst,"Dashboarding, Tableau, Data Cleaning, Excel, Power BI, Python, Pandas",M.Sc,Pune,6
Technical Support Engineer,"Troubleshooting, Remote Support, Hardware, Linux",B.Tech,Chennai,0
Cybersecurity Analyst,"Firewalls, Nmap, Kali Linux, SIEM, Vulnerability Assessment, Wireshark",MCA,Delhi,7
Data Scientist,"Python, Matplotlib, NumPy, Data Visualization, Statistics",M.Tech,Mumbai,2
Business Analyst,"Tableau, Stakeholder Communication, Excel, Data Analysis, Process Modeling",M.Sc,Bangalore,11
Frontend Developer,"HTML, Redux, Tailwind CSS, Responsive Design, CSS, Bootstrap, Next.js",B.Tech,Remote,7
UI/UX Designer,"Sketch, Figma, Responsive Design, Wireframes, User Research",B.Sc,Delhi,9
Machine Learning Engineer,"Python, Keras, Model Deployment, Deep Learning",MBA,Pune,5
HR Executive,"Onboarding, Attendance Management, Exit Formalities, Payroll, Compliance",B.Sc,Delhi,5
Database Administrator,"Monitoring, Database Security, SQL Queries, Oracle, Backup & Recovery",B.Sc,Bangalore,6
Business Analyst,"Process Modeling, Documentation, Requirement Gathering, Data Analysis, Power BI",M.Sc,Bangalore,12
QA Engineer,"Manual Testing, Performance Testing, Regression Testing, JIRA, API Testing, Test Cases",MCA,Hyderabad,7
System Administrator,"Backup Management, Virtualization, Linux, Networking, Firewall, DNS",M.Tech,Pune,10
AI Researcher,"Computer Vision, ML Frameworks, Natural Language Processing, Mathematical Modeling, TensorFlow",B.Sc,Hyderabad,1
Database Administrator,"Oracle, Replication, Performance Tuning, PostgreSQL, MySQL, SQL Queries, Indexing",B.Tech,Chennai,3
Cybersecurity Analyst,"Network Security, Ethical Hacking, Vulnerability Assessment, Risk Assessment",M.Sc,Hyderabad,4
Frontend Developer,"HTML, JavaScript, Redux, Responsive Design, CSS, Bootstrap",B.Sc,Delhi,11
Data Scientist,"Statistics, Data Visualization, Matplotlib, Pandas",M.Tech,Bangalore,9
Backend Developer,"Spring Boot, Express.js, Git, AWS, Java",MBA,Mumbai,10
HR Executive,"Payroll, HR Policies, Attendance Management, Employee Relations, HRMS, Compliance, Exit Formalities",B.Sc,Chennai,8
DevOps Engineer,"AWS, Jenkins, Ansible, Linux, Kubernetes, Docker",B.Tech,Pune,7
Technical Support Engineer,"Linux, Hardware, Networking, Ticketing Systems, Troubleshooting, Remote Support, Documentation",B.Tech,Pune,3
QA Engineer,"Automation Testing, API Testing, Performance Testing, Test Cases, Manual Testing, JIRA",MCA,Delhi,8
QA Engineer,"TestNG, API Testing, Manual Testing, Selenium",MCA,Hyderabad,7
Software Engineer,"Python, Debugging, System Design, Agile",M.Sc,Mumbai,5
Business Analyst,"Stakeholder Communication, Excel, Process Modeling, Power BI",MCA,Chennai,9
System Administrator,"DNS, Linux, Networking, Virtualization, Shell Scripting, Backup Management",B.Sc,Remote,1
